Country,HDI,ISO3,id
Afghanistan,0.478,AFG,004
Albania,0.796,ALB,008
Algeria,0.745,DZA,012
Andorra,0.858,AND,020
Angola,0.586,AGO,024
Antigua and Barbuda,0.788,ATG,028
Argentina,0.842,ARG,032
Armenia,0.759,ARM,051
Australia,0.951,AUS,036
Austria,0.916,AUT,040
Azerbaijan,0.745,AZE,031
Bahamas,0.812,BHS,044
Bahrain,0.875,BHR,048
Bangladesh,0.661,BGD,050
Barbados,0.79,BRB,052
Belarus,0.808,BLR,112
Belgium,0.937,BEL,056
Belize,0.683,BLZ,084
Benin,0.525,BEN,204
Bhutan,0.666,BTN,064
Bolivia,0.692,BOL,068
Bosnia and Herzegovina,0.78,BIH,070
Botswana,0.693,BWA,072
Brazil,0.754,BRA,076
Brunei,0.829,BRN,096
Bulgaria,0.795,BGR,100
Burkina Faso,0.449,BFA,854
Burundi,0.426,BDI,108
Cambodia,0.593,KHM,116
Cameroon,0.576,CMR,120
Canada,0.936,CAN,124
Cape Verde,0.662,CPV,132
Central African Republic,0.404,CAF,140
Chad,0.394,TCD,148
Chile,0.855,CHL,152
China,0.768,CHN,156
Colombia,0.752,COL,170
Comoros,0.558,COM,174
Costa Rica,0.809,CRI,188
Croatia,0.858,HRV,191
Cuba,0.764,CUB,192
Cyprus,0.896,CYP,196
Czech Republic,0.889,CZE,203
Denmark,0.948,DNK,208
Djibouti,0.509,DJI,262
Dominica,0.72,DMA,212
Dominican Republic,0.767,DOM,214
DR Congo,0.479,COD,180
Ecuador,0.74,ECU,218
Egypt,0.731,EGY,818
El Salvador,0.675,SLV,222
Equatorial Guinea,0.596,GNQ,226
Eritrea,0.492,ERI,232
Estonia,0.89,EST,233
Eswatini,0.597,SWZ,748
Ethiopia,0.498,ETH,231
Fiji,0.73,FJI,242
Finland,0.94,FIN,246
France,0.903,FRA,250
Gabon,0.706,GAB,266
Gambia,0.5,GMB,270
Georgia,0.802,GEO,268
Germany,0.942,DEU,276
Ghana,0.632,GHA,288
Greece,0.887,GRC,300
Grenada,0.795,GRD,308
Guatemala,0.627,GTM,320
Guinea,0.465,GIN,324
Guinea Bissau,0.483,GNB,624
Guyana,0.714,GUY,328
Haiti,0.535,HTI,332
Honduras,0.621,HND,340
Hong Kong,0.952,HKG,344
Hungary,0.846,HUN,348
Iceland,0.959,ISL,352
India,0.633,IND,356
Indonesia,0.705,IDN,360
Iran,0.774,IRN,364
Iraq,0.686,IRQ,368
Ireland,0.945,IRL,372
Israel,0.919,ISR,376
Italy,0.895,ITA,380
Ivory Coast,0.55,CIV,384
Jamaica,0.709,JAM,388
Japan,0.925,JPN,392
Jordan,0.72,JOR,400
Kazakhstan,0.811,KAZ,398
Kenya,0.575,KEN,404
Kiribati,0.624,KIR,296
Kuwait,0.831,KWT,414
Kyrgyzstan,0.692,KGZ,417
Laos,0.607,LAO,418
Latvia,0.863,LVA,428
Lebanon,0.706,LBN,422
Lesotho,0.514,LSO,426
Liberia,0.481,LBR,430
Libya,0.718,LBY,434
Liechtenstein,0.935,LIE,438
Lithuania,0.875,LTU,440
Luxembourg,0.93,LUX,442
Madagascar,0.501,MDG,450
Malawi,0.512,MWI,454
Malaysia,0.803,MYS,458
Maldives,0.747,MDV,462
Mali,0.428,MLI,466
Malta,0.918,MLT,470
Marshall Islands,0.639,MHL,584
Mauritania,0.556,MRT,478
Mauritius,0.802,MUS,480
Mexico,0.758,MEX,484
Micronesia,0.628,FSM,583
Moldova,0.767,MDA,498
Mongolia,0.739,MNG,496
Montenegro,0.832,MNE,499
Morocco,0.683,MAR,504
Mozambique,0.446,MOZ,508
Myanmar,0.585,MMR,104
Namibia,0.615,NAM,516
Nepal,0.602,NPL,524
Netherlands,0.941,NLD,528
New Zealand,0.937,NZL,554
Nicaragua,0.667,NIC,558
Niger,0.4,NER,562
Nigeria,0.535,NGA,566
North Macedonia,0.77,MKD,807
Norway,0.961,NOR,578
Oman,0.816,OMN,512
Pakistan,0.544,PAK,586
Palau,0.767,PLW,585
Palestine,0.715,PSE,275
Panama,0.805,PAN,591
Papua New Guinea,0.558,PNG,598
Paraguay,0.717,PRY,600
Peru,0.762,PER,604
Philippines,0.699,PHL,608
Poland,0.876,POL,616
Portugal,0.866,PRT,620
Qatar,0.855,QAT,634
Republic of the Congo,0.571,COG,178
Romania,0.821,ROU,642
Russia,0.829,RUS,643
Rwanda,0.534,RWA,646
Saint Kitts and Nevis,0.777,KNA,659
Saint Lucia,0.715,LCA,662
Saint Vincent and the Grenadines,0.751,VCT,670
Samoa,0.707,WSM,882
San Marino,0.853,SMR,674
Sao Tome and Principe,0.618,STP,678
Saudi Arabia,0.875,SAU,682
Senegal,0.511,SEN,686
Serbia,0.802,SRB,688
Seychelles,0.785,SYC,690
Sierra Leone,0.477,SLE,694
Singapore,0.939,SGP,702
Slovakia,0.848,SVK,703
Slovenia,0.918,SVN,705
Solomon Islands,0.564,SLB,090
South Africa,0.713,ZAF,710
South Korea,0.925,KOR,410
South Sudan,0.385,SSD,728
Spain,0.905,ESP,724
Sri Lanka,0.782,LKA,144
Sudan,0.508,SDN,729
Suriname,0.73,SUR,740
Sweden,0.947,SWE,752
Switzerland,0.962,CHE,756
Syria,0.577,SYR,760
Tajikistan,0.685,TJK,762
Tanzania,0.549,TZA,834
Thailand,0.8,THA,764
Timor Leste,0.607,TLS,626
Togo,0.539,TGO,768
Tonga,0.745,TON,776
Trinidad and Tobago,0.81,TTO,780
Tunisia,0.731,TUN,788
Turkey,0.838,TUR,792
Turkmenistan,0.745,TKM,795
Tuvalu,0.641,TUV,798
Uganda,0.525,UGA,800
Ukraine,0.773,UKR,804
United Arab Emirates,0.911,ARE,784
United Kingdom,0.929,GBR,826
United States,0.921,USA,840
Uruguay,0.809,URY,858
Uzbekistan,0.727,UZB,860
Vanuatu,0.607,VUT,548
Venezuela,0.691,VEN,862
Vietnam,0.703,VNM,704
Yemen,0.455,YEM,887
Zambia,0.565,ZMB,894
Zimbabwe,0.593,ZWE,716
